CarMake,CarModel,CarYear,CarPrice,CarCondition,MilesOnCar,PostingDate,PostingUrl,CarImageLink,PostingRegion
Toyota,RAV4,2001,3995.0,excellent,210000,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2001-toyota-rav4-lowmiles/7326074612.html,https://images.craigslist.org/00Q0Q_g7AKG25zvwyz_0CI0t2_600x450.jpg,Bellingham
Ford,Mustang EcoBoost 6 SPEED,2017,359.0,excellent,36909,2021-05-23,https://bellingham.craigslist.org/ctd/d/spokane-359-mo-ford-mustang-ecoboost/7326061401.html,https://images.craigslist.org/00909_24Mh03dwLacz_0fe0bq_600x450.jpg,Bellingham
Ram,1500 Sport,2018,577.0,excellent,47292,2021-05-23,https://bellingham.craigslist.org/ctd/d/spokane-577-mo-ram-1500-sport-lifetime/7326055551.html,https://images.craigslist.org/00k0k_1BnUv3gzkZ7z_0fe0bq_600x450.jpg,Bellingham
Acura,MDX SH-AWD,2007,11999.0,good,95054,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2007-acura-mdx-sh-awd/7326051443.html,https://images.craigslist.org/00p0p_dGxxqmiUGrez_0gw0co_600x450.jpg,Bellingham
Toyota,Sienna SE 8-Passenger,2017,24995.0,good,61971,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2017-toyota-sienna-se/7326051358.html,https://images.craigslist.org/01212_4kspD4HrWvcz_0gw0b1_600x450.jpg,Bellingham
Subaru,WRX Limited,2017,24999.0,good,39526,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2017-subaru-wrx-limited/7326051295.html,https://images.craigslist.org/00a0a_gM1JJgPRJQvz_0gw0co_600x450.jpg,Bellingham
Jeep,Compass Sport,2014,11999.0,good,72989,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2014-jeep-compass-sport/7326051245.html,https://images.craigslist.org/00A0A_kmYMRpHoDiRz_0gw0co_600x450.jpg,Bellingham
Acura,TSX Base,2009,11999.0,good,73333,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2009-acura-tsx-base/7326051190.html,https://images.craigslist.org/00P0P_3RDrNZK9doZz_0gw0co_600x450.jpg,Bellingham
Alfa Romeo,Giulia AWD SPORT,2017,423.0,excellent,19884,2021-05-23,https://bellingham.craigslist.org/ctd/d/spokane-423-mo-alfa-romeo-giulia-awd/7326049807.html,https://images.craigslist.org/00U0U_dmUnX2Z75PMz_0fe0bq_600x450.jpg,Bellingham
Ford,ESCAPE,2006,4995.0,N/A,168936,2021-05-23,https://bellingham.craigslist.org/ctd/d/mount-vernon-2006-ford-escape-xls-awd/7326038163.html,https://images.craigslist.org/00c0c_ldfjKHSbR0nz_0jm0ew_600x450.jpg,Bellingham
Ford,Thunderbird,2004,12700.0,excellent,69445,2021-05-23,https://bellingham.craigslist.org/cto/d/bellingham-2004-thunderbird-convertible/7326033938.html,https://images.craigslist.org/00z0z_1lZBYnBCQVjz_0CI0t2_600x450.jpg,Bellingham
N/A,N/A,2011,19900.0,like new,85000,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-toyota-highlander-limited/7326013163.html,N/A,Bellingham
Toyota,tacoma,2017,38500.0,excellent,23000,2021-05-23,https://bellingham.craigslist.org/cto/d/bellingham-2017-toyota-tacoma/7326000965.html,https://images.craigslist.org/00u0u_bRlg7ZurQg5z_0CI0t2_600x450.jpg,Bellingham
Hummer,H2,2003,212.0,N/A,126692,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2003-hummer-h2-4x4-4wd-lux/7325999225.html,https://images.craigslist.org/00n0n_8OtwSlJFzyWz_0cU09G_600x450.jpg,Bellingham
Ford,FOCUS,2014,6475.0,N/A,105583,2021-05-23,https://bellingham.craigslist.org/ctd/d/mount-vernon-2014-ford-focus-se-4dr/7325989501.html,https://images.craigslist.org/00707_5uubuzkZOCpz_0jm0ew_600x450.jpg,Bellingham
Audi,tt,2002,5000.0,excellent,164050,2021-05-23,https://bellingham.craigslist.org/cto/d/bellingham-2002-audi-tt-quatro-coupe-of/7325979326.html,https://images.craigslist.org/00M0M_kR0XOdgzYw0z_0CI0t2_600x450.jpg,Bellingham
Jeep,Wrangler,2016,383.0,N/A,52639,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2016-jeep-wrangler-4x4-4wd/7325943386.html,https://images.craigslist.org/00T0T_7oBe08XAshuz_0cU09G_600x450.jpg,Bellingham
Honda,Civic 2006,2006,2250.0,fair,218160,2021-05-23,https://bellingham.craigslist.org/cto/d/bellingham-2006-honda-civic/7325935641.html,https://images.craigslist.org/00e0e_eSewexUJA1Cz_0CI0iP_600x450.jpg,Bellingham
Nissan,pathfinder,1992,200.0,N/A,242962,2021-05-23,https://bellingham.craigslist.org/cto/d/bellingham-1992-nissan-pathfinder/7325915361.html,https://images.craigslist.org/00H0H_aPKSJjAPwFnz_0CI0t2_600x450.jpg,Bellingham
Jeep,CHEROKEE,2019,26000.0,N/A,38436,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2019-jeep-cherokee-latitude/7325911797.html,https://images.craigslist.org/00z0z_1YasI7NxxJLz_0ak07K_600x450.jpg,Bellingham
Jeep,COMPASS,2018,22000.0,N/A,60299,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2018-jeep-compass-sport/7325911708.html,https://images.craigslist.org/00s0s_O7oxdGcvybz_0ak07K_600x450.jpg,Bellingham
Dodge,DURANGO,2017,31000.0,N/A,98718,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2017-dodge-durango-gt/7325911599.html,https://images.craigslist.org/00u0u_2mLeidpIpkzz_0ak07K_600x450.jpg,Bellingham
Volkswagen,TIGUAN,2018,26500.0,N/A,50528,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2018-volkswagen-tiguan-20t/7325911548.html,https://images.craigslist.org/00E0E_ibKJouZ1losz_0ak07K_600x450.jpg,Bellingham
Chevrolet,SILVERADO,2020,67000.0,N/A,23280,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2020-chevrolet-chevy/7325911462.html,https://images.craigslist.org/00808_8ayQxnKNvDiz_0ak07K_600x450.jpg,Bellingham
Hyundai,ELANTRA,2019,16500.0,N/A,37766,2021-05-23,https://bellingham.craigslist.org/ctd/d/bellingham-2019-hyundai-elantra-se/7325911305.html,https://images.craigslist.org/00V0V_e0ZmAZ5tMb8z_0ak07K_600x450.jpg,Bellingham
